id;modification_counter;shift_name;short_name;start_time;end_time;break_duration;workhours_half_day;workhours_full_day;grace_time_late_in;grace_time_early_out
1;90566;schemas;Designer non-volatile;mobile evolve Lithuanian;Interactions Washington;Unbranded compressing rich;Cross-platform Auto Soft;Card;86535;46247
2;10081;Cotton;Plaza;bypassing;standardization deliverables;blockchains Movies;parse Unbranded virtual;Rubber;26897;14111
3;90084;scalable;innovative;Botswana strategic FTP;drive transmitter;Borders;toolset;bypass Cotton;33276;76761
4;41840;Island purple Supervisor;platforms;Tools CSS program;impactful;value-added;Shoes JBOD;quantifying hacking Grocery;33766;72988
5;1603;Balboa embrace Table;Automotive Checking;Developer;Outdoors;Re-contextualized;Manager;Nevada;59027;47937
6;30712;Avon mobile;Metal Baby;Landing;Gorgeous homogeneous;Court card;withdrawal 3rd;primary;5549;3250
7;67635;Licensed copying FTP;exploit invoice Account;Data Micronesia;Reactive SDD platforms;communities Wooden calculating;Function-based;intranet Niue value-added;94367;9286
8;20005;up non-volatile National;Bypass payment;Identity up Fundamental;Wooden Principal users;Loan;Usability;invoice;54318;62703
9;82799;hacking Manager feed;Dynamic;hacking;Wooden content;Bedfordshire;purple Pants Account;iterate Human;82728;172
10;298;Swedish;web best-of-breed Fresh;haptic synthesize;Buckinghamshire neural;fuchsia Configurable SQL;client-server Borders;Facilitator;67018;8759
